,Team,GP_off,Total_yds_off,Yds_PG_off,Pass_Total_Yds_off,Pass_Yds_PG_off,Rush_Total_Yds_off,Rush_Yds_PG_off,Total_pts_off,pts_PG_off,GP_def,Total_yds_def,Yds_PG_def,Pass_Total_Yds_def,Pass_Yds_PG_def,Rush_Total_Yds_def,Rush_Yds_PG_def,Total_pts_def,pts_PG_def,Win,Loss,Tie,PCT,Home_rec,Away_rec,Div_rec,Conf_rec,PF,PA,DIFF,STRK,pro_ref,Primary,Secondary,Tertiary,Conference,Division
21,Jacksonville Jaguars,13,4389,337.6,3061,235.5,1328,102.2,261,20.1,13,5446,418.9,3554,273.4,1892,145.5,383,29.5,1,12,0,0.077,1-6,0-6,1-4,1-9,261,383,-122,L12,jax,#101820,#D7A22A,#006778,AFC,AFC South
22,Pittsburgh Steelers,13,4362,335.5,3204,246.5,1158,89.1,349,26.8,13,3940,303.1,2628,202.2,1312,100.9,237,18.2,11,2,0,0.846,6-1,5-1,4-0,8-1,349,237,112,L2,pit,#FFB612,#101820,,AFC,AFC North
23,New England Patriots,13,4328,332.9,2410,185.4,1918,147.5,277,21.3,13,4453,342.5,2841,218.5,1612,124.0,279,21.5,6,7,0,0.462,4-2,2-5,2-1,5-4,277,279,-2,L1,nwe,#002244,#C60C30,#B0B7BC,AFC,AFC East
24,Denver Broncos,13,4272,328.6,2749,211.5,1523,117.2,257,19.8,13,4572,351.7,2869,220.7,1703,131.0,347,26.7,5,8,0,0.385,2-4,3-4,1-3,4-5,257,347,-90,W1,den,#FB4F14,#002244,,AFC,AFC West
25,Philadelphia Eagles,13,4239,326.1,2598,199.8,1641,126.2,277,21.3,13,4523,347.9,2868,220.6,1655,127.3,328,25.2,4,8,1,0.34600000000000003,3-3-1,1-5,2-2,4-5,277,328,-51,W1,phi,#004C54,#A5ACAF,#ACC0C6,NFC,NFC East
26,Miami Dolphins,13,4204,323.4,2966,228.2,1238,95.2,330,25.4,13,4710,362.3,3147,242.1,1563,120.2,245,18.8,8,5,0,0.615,4-3,4-2,2-2,5-4,330,245,85,L1,mia,#008E97,#FC4C02,#005778,AFC,AFC East
27,Chicago Bears,13,4158,319.8,2946,226.6,1212,93.2,282,21.7,13,4517,347.5,3016,232.0,1501,115.5,291,22.4,6,7,0,0.462,3-4,3-3,1-3,5-5,282,291,-9,W1,chi,#0B162A,#C83803,,NFC,NFC North
28,Cincinnati Bengals,13,4151,319.3,2951,227.0,1200,92.3,244,18.8,13,4970,382.3,3258,250.6,1712,131.7,338,26.0,2,10,1,0.192,2-4,0-6-1,0-4,2-7,244,338,-94,L5,cin,#FB4F14,#000000,,AFC,AFC North
29,Washington,13,4089,314.5,2773,213.3,1316,101.2,287,22.1,13,4075,313.5,2682,206.3,1393,107.2,275,21.2,6,7,0,0.462,3-3,3-4,3-2,4-5,287,275,12,W4,was,#773141,#FFB612,,NFC,NFC East
30,New York Giants,13,3901,300.1,2386,183.5,1515,116.5,238,18.3,13,4458,342.9,3139,241.5,1319,101.5,291,22.4,5,8,0,0.385,2-4,3-4,3-2,4-7,238,291,-53,L1,nyg,#0B2265,#A71930,#A5ACAF,NFC,NFC East
31,New York Jets,13,3507,269.8,2159,166.1,1348,103.7,183,14.1,13,5195,399.6,3728,286.8,1467,112.8,393,30.2,0,13,0,0.0,0-7,0-6,0-5,0-10,183,393,-210,L13,nyj,#125740,#000000,#FFF,AFC,AFC East
