,Team,GP_off,Total_yds_off,Yds_PG_off,Pass_Total_Yds_off,Pass_Yds_PG_off,Rush_Total_Yds_off,Rush_Yds_PG_off,Total_pts_off,pts_PG_off,GP_def,Total_yds_def,Yds_PG_def,Pass_Total_Yds_def,Pass_Yds_PG_def,Rush_Total_Yds_def,Rush_Yds_PG_def,Total_pts_def,pts_PG_def,Win,Loss,Tie,PCT,Home_rec,Away_rec,Div_rec,Conf_rec,PF,PA,DIFF,STRK,pro_ref,Primary,Secondary,Tertiary,Conference,Division
19,Detroit Lions,16,5603,350.2,4104,256.5,1499,93.7,377,23.6,16,6716,419.8,4558,284.9,2158,134.9,519,32.4,5,11,0,0.313,1-7,4-4,1-5,4-8,377,519,-142,L4,det,#0076B6,#B0B7BC,#000000,NFC,NFC North
20,Carolina Panthers,16,5592,349.5,3888,243.0,1704,106.5,350,21.9,16,5761,360.1,3825,239.1,1936,121.0,402,25.1,5,11,0,0.313,2-6,3-5,1-5,4-8,350,402,-52,L1,car,#0085CA,#101820,#BFC0BF,NFC,NFC South
21,Miami Dolphins,16,5424,339.0,3736,233.5,1688,105.5,404,25.3,16,5886,367.9,4024,251.5,1862,116.4,338,21.1,10,6,0,0.625,5-3,5-3,3-3,7-5,404,338,66,L1,mia,#008E97,#FC4C02,#005778,AFC,AFC East
22,Denver Broncos,16,5369,335.6,3451,215.7,1918,119.9,323,20.2,16,5887,367.9,3807,237.9,2080,130.0,446,27.9,5,11,0,0.313,2-6,3-5,1-5,4-8,323,446,-123,L3,den,#FB4F14,#002244,,AFC,AFC West
23,Philadelphia Eagles,16,5354,334.6,3327,207.9,2027,126.7,334,20.9,16,5810,363.1,3798,237.4,2012,125.8,418,26.1,4,11,1,0.281,3-4-1,1-7,2-4,4-8,334,418,-84,L3,phi,#004C54,#A5ACAF,#ACC0C6,NFC,NFC East
24,Pittsburgh Steelers,16,5354,334.6,4003,250.2,1351,84.4,416,26.0,16,4893,305.8,3110,194.4,1783,111.4,312,19.5,12,4,0,0.75,7-1,5-3,4-2,9-3,416,312,104,L1,pit,#FFB612,#101820,,AFC,AFC North
25,Chicago Bears,16,5302,331.4,3655,228.4,1647,102.9,372,23.3,16,5519,344.9,3705,231.6,1814,113.4,370,23.1,8,8,0,0.5,3-5,5-3,2-4,6-6,372,370,2,L1,chi,#0B162A,#C83803,,NFC,NFC North
26,New England Patriots,16,5236,327.3,2890,180.6,2346,146.6,326,20.4,16,5660,353.8,3557,222.3,2103,131.4,353,22.1,7,9,0,0.43799999999999994,5-3,2-6,3-3,6-6,326,353,-27,W1,nwe,#002244,#C60C30,#B0B7BC,AFC,AFC East
27,Jacksonville Jaguars,16,5218,326.1,3699,231.2,1519,94.9,306,19.1,16,6683,417.7,4231,264.4,2452,153.3,492,30.8,1,15,0,0.063,1-7,0-8,1-5,1-11,306,492,-186,L15,jax,#101820,#D7A22A,#006778,AFC,AFC South
28,Cincinnati Bengals,16,5116,319.8,3448,215.5,1668,104.3,311,19.4,16,6227,389.2,3859,241.2,2368,148.0,424,26.5,4,11,1,0.281,3-5,1-6-1,1-5,4-8,311,424,-113,L1,cin,#FB4F14,#000000,,AFC,AFC North
29,Washington,16,5076,317.3,3465,216.6,1611,100.7,335,20.9,16,4873,304.6,3068,191.8,1805,112.8,329,20.6,7,9,0,0.43799999999999994,3-5,4-4,4-2,5-7,335,329,6,W1,was,#773141,#FFB612,,NFC,NFC East
30,New York Giants,16,4794,299.6,3026,189.1,1768,110.5,280,17.5,16,5589,349.3,3807,237.9,1782,111.4,357,22.3,6,10,0,0.375,3-5,3-5,4-2,5-7,280,357,-77,W1,nyg,#0B2265,#A71930,#A5ACAF,NFC,NFC East
31,New York Jets,16,4479,279.9,2796,174.8,1683,105.2,243,15.2,16,6201,387.6,4409,275.6,1792,112.0,457,28.6,2,14,0,0.125,1-7,1-7,0-6,1-11,243,457,-214,L1,nyj,#125740,#000000,#FFF,AFC,AFC East
